carbon_footprint,type,food_item,cluster_id
3.600000000000002,,doughnuts,3
3.650000000000002,,egg,0
3.7,,boneless chickens,0
3.7,,pound cakes,0
3.700000000000001,,lasagne,3
3.7500000000000018,,potato salad,0
3.9,,boneless poultry,0
4.000000000000001,,omelet,3
4.000000000000003,,milk,0
4.050000000000002,,soy oil,0
4.1,,basmati rice,3
4.1,,boneless turkey,0
4.100000000000001,,shortbread cookies,0
4.100000000000002,,pistachio nuts,0
4.150000000000001,,pate,3
4.150000000000002,,raspberries,0
4.2,,blueberry muffins,0
4.2,,groupers,3
4.2,,lorraine quiches,3
4.2,,pine nut,0
4.250000000000002,,cookies,0
4.3000000000000025,,seatrouts,3
4.35,,yellowfin tuna,0
4.350000000000002,,quinoa,3
4.450000000000001,,dried yeast,0
4.6,,chicken sandwiches,0
4.65,,snappers,3
4.650000000000001,,pineapple juice,0
4.750000000000005,,mackerel,3
4.8000000000000025,,carp,3
4.850000000000001,,meats pizzas,0
4.9,,avocado oil,0
4.9,,neufchatel cheese,0
4.9,,oysters,3
5.000000000000002,,cream,0
5.1,,chocolate croissants,0
5.1,,gorgonzola cheese,0
5.1,,tuna salad,0
5.15,,brie cheese,0
5.2,,fontina cheese,0
5.25,,blue cheese,0
5.250000000000005,,salmon,3
5.3,,feta cheese,0
5.3,,fresh cheese,0
5.3,,Muenster cheese,0
5.450000000000004,,frozen fishes,0
5.500000000000002,,bacon,3
5.549999999999999,,chickens,0
5.699999999999999,,tuna,0
5.7,,boneless pork,0
5.8,,perches,3
5.8,,provolone cheese,0
5.850000000000004,,duck,0
5.850000000000005,,mussels,3
5.9,,edam cheese,0
5.9,,gouda cheese,0
5.9,,nugget chickens,0
5.95,,dry sausages,3
5.95,,salame,3
6.0,,cervelats,3
6.0,,pollocks,3
6.0,,roquefort cheese,0
6.15,,gruyere cheese,0
6.2,,fishes sandwiches,0
6.25,,chocolate cookies,0
6.250000000000004,,turkey,0
6.45,,chicken wholes,0
6.500000000000003,,camembert cheese,0
6.550000000000004,,rabbits,3
6.6,,surimi,3
6.7,,agar seaweed,3
6.8000000000000025,,goat cheese,0
6.85,,octopuses,3
6.9,,guineafowls,3
6.950000000000003,,chocolate,0
7.0,,chicken drumsticks,0
7.0,,frankfurters,3
7.150000000000002,,emmental cheese,0
7.2,,brownies,3
7.249999999999999,,whiting,3
7.299999999999997,,mozzarella cheese,0
7.299999999999999,,cod fishes,0
7.4,,Brazil nut,0
7.5,,sun-dried tomatoes,0
7.549999999999999,,pork,0
7.899999999999999,,haddocks,3
7.900000000000002,,hard cheese,0
7.949999999999997,,asiago cheese,0
7.950000000000003,,chicken breasts,0
7.999999999999999,,raviolis,3
8.049999999999997,,pork belly,0
8.049999999999999,,ling fishes,0
8.1,,black peppercorn,3
8.1,,cardamom,3
8.1,,cayenne,3
8.1,,cinnamon,3
8.1,,cloves,3
8.1,,cumin,3
8.1,,curry powder,0
8.1,,fenugreek seed,0
8.1,,ground cardamom,0
8.1,,ground cinnamon,0
8.1,,paprika,3
8.1,,saffron,3
8.1,,spice,3
8.1,,turmeric,3
8.150000000000002,,chicken legs,0
8.150000000000002,,chicken wings,0
8.150000000000002,,geese,3
8.2,,dried peaches,0
8.2,,hazelnut oil,0
8.299999999999999,,bass,3
8.299999999999999,,milk chocolate,0
8.4,,breaded fishes,0
8.449999999999998,,pork shoulder,0
